Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,vision_output_file,error
02_AI_L6_mixed,1,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,37,219,7,0,0.0,5,0.9934,0,0,0,0,3,0.0,34,,,,,,,,,
02_AI_L6_mixed,2,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,43,397,3,0,0.0,7,0.0873,0,0,0,0,2,0.0,35,,,,,,,,,
02_AI_L6_mixed,3,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,46,280,2,0,0.0,2,0.055,0,0,0,0,2,0.0,40,,,,,,,,,
02_AI_L6_mixed,4,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,59,405,3,1,0.1707,4,0.0797,1,0,0,0,3,0.1707,54,,,,,,,,,
02_AI_L6_mixed,5,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,82,590,4,1,0.38,14,0.5513,0,0,0,1,3,0.0,74,,,,,,,,,
02_AI_L6_mixed,6,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,18,93,3,1,0.9999,4,1.0,1,0,0,0,2,1.0,18,,,,,,,,,
02_AI_L6_mixed,7,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,18,99,3,1,0.5641,5,0.5646,1,0,0,0,2,0.5642,18,,,,,,,,,
02_AI_L6_mixed,8,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,15,79,3,3,0.401,4,0.3083,3,0,0,0,2,0.4011,15,,,,,,,,,
02_AI_L6_mixed,9,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,29,298,6,1,0.2894,10,0.8548,1,0,0,0,4,0.2894,26,,,,,,,,,
02_AI_L6_mixed,10,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,41,322,3,1,0.6176,11,0.2073,1,0,0,0,2,0.6177,32,,,,,,,,,
02_AI_L6_mixed,11,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,139,1086,5,0,0.0,3,0.1268,0,0,0,0,4,0.0,131,,,,,,,,,
02_AI_L6_mixed,12,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,130,761,5,1,0.0881,2,0.12,1,0,0,0,5,0.0881,119,,,,,,,,,
02_AI_L6_mixed,13,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,143,833,4,0,0.0,2,0.1082,0,0,0,0,4,0.0,136,,,,,,,,,
02_AI_L6_mixed,14,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,101,588,2,2,0.3885,5,0.4108,2,0,0,0,2,0.3886,95,,,,,,,,,
02_AI_L6_mixed,15,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,134,776,3,0,0.0,2,0.116,0,0,0,0,2,0.0,129,,,,,,,,,
