Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,vision_output_file,error
01_AI_L8_control,22,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,99,901,4,2,0.2666,9,0.2883,0,0,0,1,2,0.0,83,19.32,0,0,0,78,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p022.txt,
01_AI_L8_control,23,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,22,387,3,1,0.124,8,0.1357,1,0,0,0,2,0.124,15,19.14,0,0,0,38,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p023.txt,
01_AI_L8_control,24,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,84,518,11,0,0.0,14,0.1072,0,0,0,3,3,0.0,67,19.19,0,0,0,39,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p024.txt,
01_AI_L8_control,25,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,57,365,2,0,0.0,2,0.045,0,0,0,0,2,0.0,48,6.28,68,458,4,31,0.1143,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p025.txt,
01_AI_L8_control,26,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,35,196,2,0,0.0,2,0.0264,0,0,0,0,2,0.0,30,5.80,46,278,4,17,0.1905,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p026.txt,
01_AI_L8_control,27,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,64,373,4,2,0.4212,2,0.1302,2,0,0,0,2,0.4074,56,19.19,0,0,0,24,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p027.txt,
01_AI_L8_control,28,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,109,771,9,0,0.0,15,0.1353,0,0,0,3,3,0.0,94,19.22,73,518,0,64,0.0,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p028.txt,
01_AI_L8_control,29,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,34,215,3,1,0.1406,2,0.0628,1,0,0,0,3,0.1406,33,19.27,0,0,0,19,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p029.txt,
01_AI_L8_control,30,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,34,208,2,1,0.494,2,0.3777,1,0,0,0,2,0.3413,30,19.32,0,0,0,18,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p030.txt,
01_AI_L8_control,31,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,62,361,3,1,0.0565,2,0.1217,1,0,0,0,2,0.0566,55,12.37,122,724,21,22,0.4884,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p031.txt,
01_AI_L8_control,32,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,67,532,4,0,0.0,5,0.0815,0,0,0,0,3,0.0,57,19.34,0,0,0,47,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p032.txt,
02_AI_L6_mixed,1,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,37,219,7,0,0.0,5,0.9934,0,0,0,0,3,0.0,34,11.53,48,296,4,19,0.1739,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p001.txt,
02_AI_L6_mixed,2,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,43,397,3,0,0.0,7,0.0873,0,0,0,0,2,0.0,35,12.33,52,475,6,35,0.1538,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p002.txt,
02_AI_L6_mixed,3,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,46,280,2,0,0.0,2,0.055,0,0,0,0,2,0.0,40,4.95,57,357,4,23,0.1481,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p003.txt,
02_AI_L6_mixed,4,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,59,405,3,1,0.1707,4,0.0797,1,0,0,0,3,0.1707,54,8.91,162,1155,34,38,0.4722,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p004.txt,
02_AI_L6_mixed,5,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,82,590,4,1,0.38,14,0.5513,0,0,0,1,3,0.0,74,19.34,0,0,0,55,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p005.txt,
02_AI_L6_mixed,6,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,18,93,3,1,0.9999,4,1.0,1,0,0,0,2,1.0,18,19.36,0,0,0,8,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p006.txt,
02_AI_L6_mixed,7,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,18,99,3,1,0.5641,5,0.5646,1,0,0,0,2,0.5642,18,12.06,98,545,37,10,0.8043,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p007.txt,
02_AI_L6_mixed,8,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,15,79,3,3,0.401,4,0.3083,3,0,0,0,2,0.4011,15,14.71,155,1076,57,9,0.8636,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p008.txt,
02_AI_L6_mixed,9,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,29,298,6,1,0.2894,10,0.8548,1,0,0,0,4,0.2894,26,19.15,0,0,0,28,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p009.txt,
02_AI_L6_mixed,10,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,41,322,3,1,0.6176,11,0.2073,1,0,0,0,2,0.6177,32,19.06,0,0,0,29,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p010.txt,
02_AI_L6_mixed,11,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,139,1086,5,0,0.0,3,0.1268,0,0,0,0,4,0.0,131,12.77,173,1345,12,80,0.1304,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p011.txt,
02_AI_L6_mixed,12,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,130,761,5,1,0.0881,2,0.12,1,0,0,0,5,0.0881,119,19.09,0,0,0,51,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p012.txt,
02_AI_L6_mixed,13,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,143,833,4,0,0.0,2,0.1082,0,0,0,0,4,0.0,136,17.16,154,919,4,55,0.0678,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p013.txt,
02_AI_L6_mixed,14,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,101,588,2,2,0.3885,5,0.4108,2,0,0,0,2,0.3886,95,19.32,0,0,0,31,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p014.txt,
02_AI_L6_mixed,15,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,134,776,3,0,0.0,2,0.116,0,0,0,0,2,0.0,129,18.74,145,848,4,47,0.0784,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p015.txt,
02_AI_L6_mixed,16,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,77,391,6,2,0.3883,2,0.0586,2,0,0,0,2,0.1923,72,19.16,0,0,0,14,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p016.txt,
02_AI_L6_mixed,17,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,79,434,2,1,0.1448,2,0.088,1,0,0,0,2,0.1448,72,16.43,210,1216,26,41,0.3881,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p017.txt,
02_AI_L6_mixed,18,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,8,59,2,2,1.0,6,0.9955,1,0,0,0,2,0.7111,7,18.18,102,589,43,5,0.8958,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p018.txt,
02_AI_L6_mixed,19,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,167,1225,9,0,0.0,28,0.4557,0,0,1,0,2,0.0,72,19.20,0,0,0,49,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p019.txt,
02_AI_L6_mixed,20,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,106,735,3,1,0.0927,4,0.1128,1,0,0,0,3,0.0927,99,19.20,0,0,0,62,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p020.txt,
02_AI_L6_mixed,21,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,59,554,3,1,0.1322,5,0.099,1,0,0,0,3,0.1322,54,19.15,0,0,0,48,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p021.txt,
02_AI_L6_mixed,22,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,89,685,7,1,0.0946,4,0.0986,1,0,0,0,3,0.0946,84,19.24,0,0,0,49,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p022.txt,
02_AI_L6_mixed,23,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,120,1015,7,1,0.1192,11,0.2034,0,0,0,1,2,0.0,105,19.07,0,0,0,78,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p023.txt,
02_AI_L6_mixed,24,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,10,90,3,2,1.0,7,0.9955,1,0,0,0,2,0.7111,8,9.74,93,554,36,7,0.8571,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p024.txt,
02_AI_L6_mixed,25,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,147,1104,4,1,0.0732,7,0.1793,1,0,0,0,3,0.0323,133,19.21,143,1026,2,84,0.0263,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p025.txt,
02_AI_L6_mixed,26,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,176,1307,8,1,0.0732,9,0.1438,1,0,0,0,4,0.0323,162,19.16,0,0,0,101,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p026.txt,
02_AI_L6_mixed,27,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,121,828,5,1,0.134,7,0.5199,1,0,0,0,2,0.134,112,19.15,34,199,0,69,0.0,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p027.txt,
02_AI_L6_mixed,28,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,98,729,2,1,0.2371,9,0.2929,1,0,0,0,2,0.1931,87,14.19,157,1109,28,53,0.3544,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p028.txt,
02_AI_L6_mixed,29,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,2,67,1,1,0.9999,5,1.0,1,0,0,0,1,1.0,1,19.12,0,0,0,9,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p029.txt,
02_AI_L6_mixed,30,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,14,64,3,0,0.0,2,0.0145,0,0,0,0,3,0.0,13,19.07,0,0,0,6,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p030.txt,
02_AI_L6_mixed,31,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,16,135,4,1,0.2848,3,0.081,1,0,0,0,4,0.2848,15,19.07,0,0,0,12,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p031.txt,
02_AI_L6_mixed,32,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,12,58,1,1,0.731,4,0.9548,1,0,0,0,2,0.6596,12,19.19,0,0,0,6,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p032.txt,
02_AI_L6_mixed,33,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,26,135,4,2,0.4239,7,0.1522,1,0,0,0,2,0.1267,23,19.06,0,0,0,13,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p033.txt,
02_AI_L6_mixed,34,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,36,197,5,4,0.6065,9,0.2259,3,0,0,0,2,0.3093,32,19.15,0,0,0,18,,qwen3-vl:4b,outputs/c3_routing\vision\02_AI_L6_mixed_p034.txt,
03_ISP_L10_image_heavy,1,,,CM3065 Lesson 10.pdf,pdf,30,9,64,2,12,1.0,2,0.6794,,,,,,,,19.04,0,0,0,8,,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p001.txt,
03_ISP_L10_image_heavy,2,,,CM3065 Lesson 10.pdf,pdf,30,8,58,1,13,1.0,2,0.9907,,,,,,,,5.92,48,293,18,6,0.75,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p002.txt,
03_ISP_L10_image_heavy,3,,,CM3065 Lesson 10.pdf,pdf,30,32,231,2,6,1.0,2,0.2611,,,,,,,,4.84,41,299,5,14,0.2632,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p003.txt,
03_ISP_L10_image_heavy,4,,,CM3065 Lesson 10.pdf,pdf,30,2,12,1,13,1.0,2,0.997,,,,,,,,5.09,41,240,14,2,0.875,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p004.txt,
03_ISP_L10_image_heavy,5,,,CM3065 Lesson 10.pdf,pdf,30,25,145,3,6,1.0,2,0.2545,,,,,,,,4.42,36,219,4,15,0.2105,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p005.txt,
03_ISP_L10_image_heavy,6,,,CM3065 Lesson 10.pdf,pdf,30,51,286,2,6,1.0,2,0.2781,,,,,,,,6.24,62,370,4,27,0.129,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p006.txt,
03_ISP_L10_image_heavy,7,,,CM3065 Lesson 10.pdf,pdf,30,69,377,3,6,1.0,2,0.2825,,,,,,,,16.83,78,487,4,35,0.1026,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p007.txt,
03_ISP_L10_image_heavy,8,,,CM3065 Lesson 10.pdf,pdf,30,57,347,4,6,1.0,2,0.2789,,,,,,,,4.69,68,432,4,31,0.1143,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p008.txt,
03_ISP_L10_image_heavy,9,,,CM3065 Lesson 10.pdf,pdf,30,5,31,1,7,1.0,2,0.3797,,,,,,,,14.99,225,1650,65,3,0.9559,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p009.txt,
03_ISP_L10_image_heavy,10,,,CM3065 Lesson 10.pdf,pdf,30,67,456,2,6,1.0,2,0.2989,,,,,,,,7.81,76,541,4,40,0.0909,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p010.txt,
03_ISP_L10_image_heavy,11,,,CM3065 Lesson 10.pdf,pdf,30,51,361,2,6,1.0,2,0.2814,,,,,,,,4.88,62,449,4,28,0.125,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p011.txt,
03_ISP_L10_image_heavy,12,,,CM3065 Lesson 10.pdf,pdf,30,58,366,2,6,1.0,2,0.2821,,,,,,,,5.17,69,452,3,31,0.0882,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p012.txt,
03_ISP_L10_image_heavy,13,,,CM3065 Lesson 10.pdf,pdf,30,7,66,3,8,1.0,2,0.3574,,,,,,,,19.16,0,0,0,4,,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p013.txt,
03_ISP_L10_image_heavy,14,,,CM3065 Lesson 10.pdf,pdf,30,58,370,2,6,1.0,2,0.2815,,,,,,,,5.01,69,456,3,32,0.0857,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p014.txt,
03_ISP_L10_image_heavy,15,,,CM3065 Lesson 10.pdf,pdf,30,34,189,2,6,1.0,2,0.2514,,,,,,,,6.45,43,269,4,14,0.2222,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p015.txt,
03_ISP_L10_image_heavy,16,,,CM3065 Lesson 10.pdf,pdf,30,61,315,3,6,1.0,2,0.2749,,,,,,,,19.04,0,0,0,35,,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p016.txt,
03_ISP_L10_image_heavy,17,,,CM3065 Lesson 10.pdf,pdf,30,8,46,1,13,1.0,2,0.9923,,,,,,,,4.39,38,236,14,5,0.7368,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p017.txt,
03_ISP_L10_image_heavy,18,,,CM3065 Lesson 10.pdf,pdf,30,29,183,2,6,1.0,2,0.2493,,,,,,,,6.96,38,247,4,17,0.1905,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p018.txt,
03_ISP_L10_image_heavy,19,,,CM3065 Lesson 10.pdf,pdf,30,5,31,1,7,1.0,2,0.445,,,,,,,,19.11,0,0,0,4,,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p019.txt,
03_ISP_L10_image_heavy,20,,,CM3065 Lesson 10.pdf,pdf,30,19,131,3,7,1.0,2,0.3667,,,,,,,,19.19,0,0,0,11,,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p020.txt,
03_ISP_L10_image_heavy,21,,,CM3065 Lesson 10.pdf,pdf,30,48,285,3,7,1.0,3,0.3359,,,,,,,,15.60,107,682,23,30,0.434,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p021.txt,
03_ISP_L10_image_heavy,22,,,CM3065 Lesson 10.pdf,pdf,30,51,279,2,7,1.0,4,0.3504,,,,,,,,19.10,0,0,0,27,,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p022.txt,
03_ISP_L10_image_heavy,23,,,CM3065 Lesson 10.pdf,pdf,30,46,257,2,7,1.0,3,0.3464,,,,,,,,14.44,150,894,39,27,0.5909,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p023.txt,
03_ISP_L10_image_heavy,24,,,CM3065 Lesson 10.pdf,pdf,30,32,183,2,7,1.0,3,0.338,,,,,,,,17.95,102,730,26,22,0.5417,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p024.txt,
03_ISP_L10_image_heavy,25,,,CM3065 Lesson 10.pdf,pdf,30,5,37,1,13,1.0,2,0.9933,,,,,,,,3.48,31,182,11,4,0.7333,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p025.txt,
03_ISP_L10_image_heavy,26,,,CM3065 Lesson 10.pdf,pdf,30,86,621,6,6,1.0,2,0.2896,,,,,,,,18.98,0,0,0,40,,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p026.txt,
03_ISP_L10_image_heavy,27,,,CM3065 Lesson 10.pdf,pdf,30,10,75,2,6,1.0,2,0.2423,,,,,,,,3.62,21,142,4,8,0.3333,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p027.txt,
03_ISP_L10_image_heavy,28,,,CM3065 Lesson 10.pdf,pdf,30,10,77,2,6,1.0,2,0.2424,,,,,,,,4.24,21,144,4,8,0.3333,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p028.txt,
03_ISP_L10_image_heavy,29,,,CM3065 Lesson 10.pdf,pdf,30,51,362,2,6,1.0,2,0.287,,,,,,,,6.41,60,435,4,35,0.1026,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p029.txt,
03_ISP_L10_image_heavy,30,,,CM3065 Lesson 10.pdf,pdf,30,4,18,1,13,1.0,2,0.9968,,,,,,,,4.04,49,293,20,2,0.9091,qwen3-vl:4b,outputs/c3_routing\vision\03_ISP_L10_image_heavy_p030.txt,
04_GP_T7_extreme,1,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,43,267,2,1,0.0055,2,0.0398,1,0,0,0,2,0.0055,43,19.83,55,356,5,25,0.1667,qwen3-vl:4b,outputs/c3_routing\vision\04_GP_T7_extreme_p001.txt,
04_GP_T7_extreme,2,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,5,25,2,2,0.556,2,0.243,2,0,0,0,1,0.5561,5,23.90,0,0,0,2,,qwen3-vl:4b,outputs/c3_routing\vision\04_GP_T7_extreme_p002.txt,
04_GP_T7_extreme,3,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,5,25,2,3,0.4945,2,0.2969,3,0,0,0,1,0.4946,5,23.93,79,505,38,2,0.95,qwen3-vl:4b,outputs/c3_routing\vision\04_GP_T7_extreme_p003.txt,
