File,Mode,Questions found,Returned five,Validation passed,Missing labels,Empty values,Placeholder echoes,Faults,Invalid source basis,Generated notes basis,Shape warnings,Warnings
20260813_205536_156923_combined_transcript_and_slide_text.txt,Combined transcript and slide text,0,False,False,0,0,0,"expected 5 questions, found 0",0,0,0,
20260813_205845_918490_combined_transcript_and_slide_text.txt,Combined transcript and slide text,0,False,False,0,0,0,"expected 5 questions, found 0",0,0,0,
20260813_210754_881089_combined_transcript_and_slide_text.txt,Combined transcript and slide text,5,True,False,5,6,0,"question 1 missing 'Question type:'; question 1 has an empty 'Question:', 'Suggested answer:'; question 2 missing 'Question type:'; question 2 has an empty 'Suggested answer:'; question 3 missing 'Question type:'; question 3 has an empty 'Suggested answer:'; question 4 missing 'Question type:'; question 4 has an empty 'Suggested answer:'; question 5 missing 'Question type:'; question 5 has an empty 'Suggested answer:'",0,0,2,question 4 does not read as a question; question 5 does not read as a question
20260813_211217_414978_combined_transcript_and_slide_text.txt,Combined transcript and slide text,6,False,False,9,0,6,"expected 5 questions, found 6; question 1 repeats the prompt placeholder for 'Question:', 'Suggested answer:'; question 2 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 3 repeats the prompt placeholder for 'Question:', 'Suggested answer:'; question 4 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 5 repeats the prompt placeholder for 'Question:', 'Suggested answer:'; question 6 missing 'Suggested answer:', 'Question type:', 'Source basis:'",0,0,0,
20260816_200251_889296_slide_text_only.txt,Slide text only,1,False,False,0,0,0,"expected 5 questions, found 1",0,0,0,
20260816_203033_109334_transcript_slide_text_and_notes.txt,"Transcript, slide text and notes",0,False,False,0,0,0,"expected 5 questions, found 0",0,0,0,
20260816_224747_377549_transcript_slide_text_and_notes.txt,"Transcript, slide text and notes",4,False,False,0,0,0,"expected 5 questions, found 4; question 3 attributes its source basis to the generated revision notes ('Revision notes'), not to a supplied input",0,1,1,question 1 does not read as a question
20260816_230613_419655_transcript_slide_text_and_notes.txt,"Transcript, slide text and notes",4,False,False,0,0,0,"expected 5 questions, found 4; question 3 attributes its source basis to the generated revision notes ('Revision notes'), not to a supplied input",0,1,1,question 1 does not read as a question
20260817_212210_825142_transcript_slide_text_and_notes.txt,"Transcript, slide text and notes",4,False,False,0,0,0,"expected 5 questions, found 4; question 4 attributes its source basis to the generated revision notes ('Revision notes'), not to a supplied input",0,1,1,question 1 does not read as a question
