Slide set,Pages,Extraction path,Missing text (1 to 5),Incorrect text (1 to 5),Structure kept (1 to 5),Overall (1 to 5),Notes,Character count,Word count,Seconds elapsed,Model used,Unreadable pages,Truncated pages,Retries spent,Output text file
CM3020 Artificial Intelligence_lecture 8-2,32,Native pptx (python-pptx),,,,,,14321,1985,0.03,python-pptx parser,,,,outputs\extractors_ctx16k\01_AI_L8_control\20260920_213328_882966_CM3020 Artificial Intelligence_lecture 8-2_native_pptx_python-pptx.txt
CM3020 Artificial Intelligence_lecture 8-2,32,pypdf (embedded text layer),,,,,,14221,2027,0.17,pypdf text layer,,,,outputs\extractors_ctx16k\01_AI_L8_control\20260920_213329_050160_CM3020 Artificial Intelligence_lecture 8-2_pypdf_embedded_text_layer.txt
CM3020 Artificial Intelligence_lecture 8-2,32,Tesseract OCR,,,,,,18179,2768,12.49,Tesseract OCR engine,,,,outputs\extractors_ctx16k\01_AI_L8_control\20260920_213341_540262_CM3020 Artificial Intelligence_lecture 8-2_tesseract_ocr.txt
CM3020 Artificial Intelligence_lecture 8-2,32,Vision model,,,,,,23700,3671,275.22,qwen2.5vl:7b,0,0,0,outputs\extractors_ctx16k\01_AI_L8_control\20260920_213816_763991_CM3020 Artificial Intelligence_lecture 8-2_vision_model.txt
