Deck,Content kept by eye (1 to 5),Notes,pages,vision_pages,text_pages,calls_avoided_pct,routed_words,all_vision_words,content_retained_pct,routed_seconds,all_vision_seconds,time_saved_pct,unreadable_pages,output_file
CM3060_L6_draft_deck,,,36,15,21,58,4254,4369,97,139.0,309.7,55,0,outputs\ablation_routing\routed\CM3060_L6_draft_deck_routed.txt
01_AI_L8_control,,,32,14,18,56,3180,3671,87,123.9,275.2,55,0,outputs\ablation_routing\routed\01_AI_L8_control_routed.txt
02_AI_L6_mixed,,,34,19,15,44,3999,4219,95,173.7,304.5,43,0,outputs\ablation_routing\routed\02_AI_L6_mixed_routed.txt
03_ISP_L10_image_heavy,,,30,26,4,13,2264,2179,104,205.1,229.7,11,0,outputs\ablation_routing\routed\03_ISP_L10_image_heavy_routed.txt
04_GP_T7_extreme,,,15,13,2,13,1831,1789,102,90.9,97.5,7,0,outputs\ablation_routing\routed\04_GP_T7_extreme_routed.txt
