Slide set,Pages,Extraction path,Missing text (1 to 5),Incorrect text (1 to 5),Structure kept (1 to 5),Overall (1 to 5),Notes,Character count,Word count,Seconds elapsed,Model used,Unreadable pages,Truncated pages,Retries spent,Output text file
CM3020 Artificial Intelligence_lecture 6,34,Native pptx (python-pptx),,,,,,16827,2374,0.03,python-pptx parser,,,,outputs\extractors_ctx16k\02_AI_L6_mixed\20260920_213824_462052_CM3020 Artificial Intelligence_lecture 6_native_pptx_python-pptx.txt
CM3020 Artificial Intelligence_lecture 6,34,pypdf (embedded text layer),,,,,,16685,2399,0.22,pypdf text layer,,,,outputs\extractors_ctx16k\02_AI_L6_mixed\20260920_213824_678237_CM3020 Artificial Intelligence_lecture 6_pypdf_embedded_text_layer.txt
CM3020 Artificial Intelligence_lecture 6,34,Tesseract OCR,,,,,,22279,3377,15.21,Tesseract OCR engine,,,,outputs\extractors_ctx16k\02_AI_L6_mixed\20260920_213839_893130_CM3020 Artificial Intelligence_lecture 6_tesseract_ocr.txt
CM3020 Artificial Intelligence_lecture 6,34,Vision model,,,,,,27260,4219,304.53,qwen2.5vl:7b,0,0,0,outputs\extractors_ctx16k\02_AI_L6_mixed\20260920_214344_427828_CM3020 Artificial Intelligence_lecture 6_vision_model.txt
