Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,finish_reason,vision_output_file,error
01_AI_L8_control,21,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,65,426,2,2,0.3958,3,0.394,2,0,0,0,2,0.4522,58,7.92,68,445,2,37,0.0513,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p021.txt,
01_AI_L8_control,22,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,99,901,4,2,0.2666,9,0.2883,0,0,0,1,2,0.0,83,10.19,97,936,6,78,0.075,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p022.txt,
01_AI_L8_control,23,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,22,387,3,1,0.124,8,0.1357,1,0,0,0,2,0.124,15,9.59,92,803,33,38,0.4714,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p023.txt,
01_AI_L8_control,24,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,84,518,11,0,0.0,14,0.1072,0,0,0,3,3,0.0,67,9.44,136,887,15,39,0.2778,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p024.txt,
01_AI_L8_control,25,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,57,365,2,0,0.0,2,0.045,0,0,0,0,2,0.0,48,7.96,60,394,2,31,0.0606,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p025.txt,
01_AI_L8_control,26,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,35,196,2,0,0.0,2,0.0264,0,0,0,0,2,0.0,30,7.33,38,222,2,17,0.1053,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p026.txt,
01_AI_L8_control,27,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,64,373,4,2,0.4212,2,0.1302,2,0,0,0,2,0.4074,56,8.09,67,398,2,24,0.0769,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p027.txt,
01_AI_L8_control,28,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,109,771,9,0,0.0,15,0.1353,0,0,0,3,3,0.0,94,3.92,172,1179,16,64,0.2,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p028.txt,
01_AI_L8_control,29,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,34,215,3,1,0.1406,2,0.0628,1,0,0,0,3,0.1406,33,8.77,119,745,29,19,0.6444,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p029.txt,
01_AI_L8_control,30,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,34,208,2,1,0.494,2,0.3777,1,0,0,0,2,0.3413,30,8.91,118,741,40,18,0.6897,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p030.txt,
01_AI_L8_control,31,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,62,361,3,1,0.0565,2,0.1217,1,0,0,0,2,0.0566,55,8.78,102,621,14,22,0.3889,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p031.txt,
01_AI_L8_control,32,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,67,532,4,0,0.0,5,0.0815,0,0,0,0,3,0.0,57,8.70,67,535,3,47,0.0652,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p032.txt,
02_AI_L6_mixed,1,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,37,219,7,0,0.0,5,0.9934,0,0,0,0,3,0.0,34,7.46,40,238,2,19,0.0952,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p001.txt,
02_AI_L6_mixed,2,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,43,397,3,0,0.0,7,0.0873,0,0,0,0,2,0.0,35,8.33,46,437,2,35,0.0541,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p002.txt,
02_AI_L6_mixed,3,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,46,280,2,0,0.0,2,0.055,0,0,0,0,2,0.0,40,7.84,49,300,2,23,0.08,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p003.txt,
02_AI_L6_mixed,4,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,59,405,3,1,0.1707,4,0.0797,1,0,0,0,3,0.1707,54,11.17,150,967,29,38,0.4328,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p004.txt,
02_AI_L6_mixed,5,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,82,590,4,1,0.38,14,0.5513,0,0,0,1,3,0.0,74,13.52,293,1961,76,55,0.5984,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p005.txt,
02_AI_L6_mixed,6,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,18,93,3,1,0.9999,4,1.0,1,0,0,0,2,1.0,18,8.69,103,592,39,8,0.8298,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p006.txt,
02_AI_L6_mixed,7,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,18,99,3,1,0.5641,5,0.5646,1,0,0,0,2,0.5642,18,8.64,81,471,29,10,0.7632,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p007.txt,
02_AI_L6_mixed,8,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,15,79,3,3,0.401,4,0.3083,3,0,0,0,2,0.4011,15,8.97,104,619,37,9,0.8043,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p008.txt,
02_AI_L6_mixed,9,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,29,298,6,1,0.2894,10,0.8548,1,0,0,0,4,0.2894,26,9.24,101,727,25,28,0.4717,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p009.txt,
02_AI_L6_mixed,10,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,41,322,3,1,0.6176,11,0.2073,1,0,0,0,2,0.6177,32,12.93,238,1830,79,29,0.7453,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p010.txt,
02_AI_L6_mixed,11,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,139,1086,5,0,0.0,3,0.1268,0,0,0,0,4,0.0,131,9.61,142,1101,2,80,0.0244,qwen2.5vl:7b,stop,outputs/c3_routing\vision\02_AI_L6_mixed_p011.txt,
